Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest
JavaRTS,core,texture,texture,10,1,4,347,0
JavaRTS,core,texture,texture,17,2,4,364,0
JavaRTS,core,Ticker,Ticker,7,1,2,14,0
JavaRTS,core,Ticker,Ticker,6,1,1,22,0
JavaRTS,core,Ticker,addActionListener,4,2,1,29,0
JavaRTS,core,Ticker,isRunning,3,1,0,36,0
JavaRTS,core,Ticker,start,3,1,0,40,0
JavaRTS,core,Ticker,stop,3,1,0,44,0
JavaRTS,core,Ticker,setDelay,3,1,1,48,0
JavaRTS,core,Ticker,getDelay,3,1,0,52,0
JavaRTS,core,Ticker,fireActionPerformed,10,2,0,56,0
JavaRTS,core,Ticker,run,12,2,0,66,0
JavaRTS,core,Turn2DTo3DFactory,init,10,1,0,13,0
JavaRTS,core,Turn2DTo3DFactory,get3DLocation,35,1,3,24,0
JavaRTS,core,vector,vector,6,1,3,26,0
JavaRTS,core,vector,add,5,1,1,35,0
JavaRTS,core,vector,add,5,1,3,41,0
JavaRTS,core,vector,add,5,1,2,47,0
JavaRTS,core,vector,subtract,5,1,1,54,0
JavaRTS,core,vector,scale,5,1,1,62,0
JavaRTS,core,vector,unit,6,1,0,69,0
JavaRTS,core,vector,getLength,3,1,0,78,0
JavaRTS,core,vector,dot,3,1,1,83,0
JavaRTS,core,vector,cross,5,1,2,88,0
JavaRTS,core,vector,rotate_XZ,8,1,1,95,0
JavaRTS,core,vector,rotate_YZ,8,1,1,105,0
JavaRTS,core,vector,rotate_XY,8,1,1,115,0
JavaRTS,core,vector,set,5,1,1,126,0
JavaRTS,core,vector,set,5,1,3,132,0
JavaRTS,core,vector,reset,5,1,0,139,0
JavaRTS,core,vector,updateLocation,5,1,0,145,0
JavaRTS,core,vector,updateLocationOrthognal,4,1,0,153,0
JavaRTS,core,vector,myClone,3,1,0,159,0
JavaRTS,core,vector,toString,3,1,0,163,0
JavaRTS,enemyAI,baseExpensionAI,baseExpensionAI,15,6,0,28,0
JavaRTS,enemyAI,baseExpensionAI,processAI,247,77,0,58,0
JavaRTS,enemyAI,baseExpensionAI,threatLevelNearTarget,25,10,1,383,0
JavaRTS,enemyAI,baseExpensionAI,addStealthTank,8,3,1,424,0
JavaRTS,enemyAI,baseExpensionAI,needStealthTank,9,4,0,434,0
JavaRTS,enemyAI,baseExpensionAI,hasRefineryNearTheGoldmine,10,4,1,446,0
JavaRTS,enemyAI,baseExpensionAI,hasConstructionYardNearGoldMine,10,4,1,457,0
JavaRTS,enemyAI,buildingManagerAI,buildingManagerAI,25,4,0,24,0
JavaRTS,enemyAI,buildingManagerAI,addBuildingToQueue,44,15,1,59,0
JavaRTS,enemyAI,buildingManagerAI,processAI,145,39,0,119,0
JavaRTS,enemyAI,buildingManagerAI,hasRoomForPlacement,332,113,2,329,0
JavaRTS,enemyAI,buildingManagerAI,checkIfBlockIsFree,33,9,1,610,0
JavaRTS,enemyAI,buildingManagerAI,buildingUnderProduction,13,4,1,653,0
JavaRTS,enemyAI,buildingManagerAI,findFactoryDeployLocation,17,8,0,669,0
JavaRTS,enemyAI,buildingManagerAI,getNumberOfRefineriesNearPreferedGoldMine,12,4,0,698,0
JavaRTS,enemyAI,buildingManagerAI,getNumberOfFunctionalRefinery,10,3,0,712,0
JavaRTS,enemyAI,buildingManagerAI,getPowerConsumption,13,9,1,725,0
JavaRTS,enemyAI,buildingManagerAI,hasLineOfSight,24,4,3,746,0
JavaRTS,enemyAI,combatManagerAI,combatManagerAI,12,2,0,69,0
JavaRTS,enemyAI,combatManagerAI,processAI,318,84,0,96,0
JavaRTS,enemyAI,combatManagerAI,everyoneAttackTargetPosition,107,30,0,546,0
JavaRTS,enemyAI,combatManagerAI,checkPlayerForceStrengthAroundOnePoint,14,7,4,702,0
JavaRTS,enemyAI,combatManagerAI,getAIForceStrength,11,6,1,722,0
JavaRTS,enemyAI,combatManagerAI,checkIfAIHasBiggerForce,25,5,1,737,0
JavaRTS,enemyAI,defenseManagerAI,defenseManagerAI,11,1,0,47,0
JavaRTS,enemyAI,defenseManagerAI,processAI,327,91,0,69,0
JavaRTS,enemyAI,defenseManagerAI,playerForceIsMovingTwoardsBase,18,6,2,527,0
JavaRTS,enemyAI,defenseManagerAI,giveBackControlOfDefendersToCombatAI,25,11,0,554,0
JavaRTS,enemyAI,defenseManagerAI,takeOverDefendersFromCombatAI,21,9,0,583,0
JavaRTS,enemyAI,defenseManagerAI,playerForceIsNearBase,10,4,1,606,0
JavaRTS,enemyAI,defenseManagerAI,numOfHeavyTankAroundLocation,9,3,1,620,0
JavaRTS,enemyAI,defenseManagerAI,addUnitToDefenders,24,8,1,632,0
JavaRTS,enemyAI,defenseManagerAI,newUnitIsCloserToThreat,11,4,1,660,0
JavaRTS,enemyAI,defenseManagerAI,evadePlayerUnit,33,10,1,675,0
JavaRTS,enemyAI,economyManagerAI,economyManagerAI,5,1,0,22,0
JavaRTS,enemyAI,economyManagerAI,processAI,102,39,0,29,0
JavaRTS,enemyAI,enemyCommander,init,15,1,0,29,0
JavaRTS,enemyAI,enemyCommander,update,12,4,0,52,0
JavaRTS,enemyAI,enemyCommander,drawVisionMap,11,4,0,76,0
JavaRTS,enemyAI,enemyCommander,thinkHardLikeHumanPlayer,31,12,0,91,0
JavaRTS,enemyAI,harassmentAI,harassmentAI,9,1,0,35,0
JavaRTS,enemyAI,harassmentAI,processAI,193,54,0,45,0
JavaRTS,enemyAI,harassmentAI,playerBaseIsAround,14,4,1,280,0
JavaRTS,enemyAI,harassmentAI,hasRoomToMove,41,13,1,296,0
JavaRTS,enemyAI,mapAwarenessAI,mapAwarenessAI,31,3,0,87,0
JavaRTS,enemyAI,mapAwarenessAI,processAI,349,112,0,125,0
JavaRTS,enemyAI,mapAwarenessAI,addPlayerUnitInMinimap,9,3,1,547,0
JavaRTS,enemyAI,mapAwarenessAI,addPlayerStaticDefenceInMinimap,8,3,1,557,0
JavaRTS,enemyAI,mapAwarenessAI,addPlayerStructure,8,3,1,566,0
JavaRTS,enemyAI,mapAwarenessAI,findTheMostVulnerablePlayerBase,35,19,0,575,0
JavaRTS,enemyAI,mapAwarenessAI,findplayexpensionDefenseScore,21,9,2,634,0
JavaRTS,enemyAI,mapAwarenessAI,findPlayerStaticDefense,34,13,0,669,0
JavaRTS,enemyAI,mapAwarenessAI,findPlayerForceLocation,58,13,0,721,0
JavaRTS,enemyAI,microManagementAI,microManagementAI,3,1,0,30,0
JavaRTS,enemyAI,microManagementAI,processAI,123,28,0,34,0
JavaRTS,enemyAI,microManagementAI,hasLineOfSight,20,4,6,214,0
JavaRTS,enemyAI,scoutingManagerAI,scoutingManagerAI,9,1,0,35,0
JavaRTS,enemyAI,scoutingManagerAI,processAI,137,37,0,56,0
JavaRTS,enemyAI,scoutingManagerAI,checkForCollision,44,18,1,258,0
JavaRTS,enemyAI,scoutingManagerAI,scountReachedDestination,6,3,3,317,0
JavaRTS,enemyAI,scoutingManagerAI,needLightTank,6,2,0,332,0
JavaRTS,enemyAI,scoutingManagerAI,needStealthTank,8,3,0,340,0
JavaRTS,enemyAI,scoutingManagerAI,addLightTank,3,1,1,349,0
JavaRTS,enemyAI,scoutingManagerAI,addStealthTank,11,2,1,353,0
JavaRTS,enemyAI,unitProductionAI,unitProductionAI,15,1,0,50,0
JavaRTS,enemyAI,unitProductionAI,processAI,175,50,0,76,0
JavaRTS,enemyAI,unitProductionAI,addLightTank,13,5,1,304,0
JavaRTS,enemyAI,unitProductionAI,addRocketTank,8,3,1,327,0
JavaRTS,enemyAI,unitProductionAI,addStealthTank,17,6,1,339,0
JavaRTS,enemyAI,unitProductionAI,addHeavyTank,8,3,1,365,0
JavaRTS,enemyAI,unitProductionAI,countTroopControlledByCombatAI,43,14,0,376,0
JavaRTS,enemyAI,unitProductionAI,findCenterOfTroopControlledByCombatAI,88,22,0,427,0
JavaRTS,entity,communicationCenter,resetResearchStatus,13,1,0,67,0
JavaRTS,entity,communicationCenter,communicationCenter,84,6,4,81,0
JavaRTS,entity,communicationCenter,makePolygons,339,31,0,198,0
JavaRTS,entity,communicationCenter,createRadarDiskPolygon,40,1,5,761,0
JavaRTS,entity,communicationCenter,update,244,50,0,824,0
JavaRTS,entity,communicationCenter,updateGeometry,32,7,0,1172,0
JavaRTS,entity,communicationCenter,draw,7,3,0,1216,0
JavaRTS,entity,communicationCenter,addPolygon,10,3,2,1228,0
JavaRTS,entity,communicationCenter,researchHarvesterSpeed,10,2,1,1239,0
JavaRTS,entity,communicationCenter,researchRapidfire,10,2,1,1251,0
JavaRTS,entity,communicationCenter,cancelResearch,14,2,1,1263,0
JavaRTS,entity,communicationCenter,upgradeHarvester,8,3,1,1278,0
JavaRTS,entity,communicationCenter,getMovement,3,1,0,1289,0
JavaRTS,entity,constructionVehicle,constructionVehicle,34,2,3,78,0
JavaRTS,entity,constructionVehicle,makePolygons,429,51,0,126,0
JavaRTS,entity,constructionVehicle,update,144,35,0,1073,0
JavaRTS,entity,constructionVehicle,carryOutCommands,9,3,0,1273,0
JavaRTS,entity,constructionVehicle,performPathFindingLogic,94,20,0,1284,0
JavaRTS,entity,constructionVehicle,findAdjacentTileWithSmallestHeuristic,62,17,1,1419,0
JavaRTS,entity,constructionVehicle,performMovementLogic,53,10,0,1511,0
JavaRTS,entity,constructionVehicle,avoidGettingStucked,20,5,0,1586,0
JavaRTS,entity,constructionVehicle,draw,31,9,0,1612,0
JavaRTS,entity,constructionVehicle,getMovement,3,1,0,1652,0
JavaRTS,entity,constructionVehicle,updateGeometry,196,40,0,1656,0
JavaRTS,entity,constructionVehicle,canBeDeployed,28,6,0,1938,0
JavaRTS,entity,constructionVehicle,expand,8,1,0,1972,0
JavaRTS,entity,constructionVehicle,resetLogicStatus,10,1,0,1986,0
JavaRTS,entity,constructionVehicle,moveTo,12,2,2,1998,0
JavaRTS,entity,constructionVehicle,getMaxHp,3,1,0,2014,0
JavaRTS,entity,constructionYard,constructionYard,106,3,4,81,0
JavaRTS,entity,constructionYard,makePolygons,552,56,0,222,0
JavaRTS,entity,constructionYard,addPolygon,9,3,2,1056,0
JavaRTS,entity,constructionYard,update,285,52,0,1067,0
JavaRTS,entity,constructionYard,updateGeometry,36,5,0,1453,0
JavaRTS,entity,constructionYard,build,9,8,1,1515,0
JavaRTS,entity,constructionYard,buildPowerPlant,13,2,0,1533,0
JavaRTS,entity,constructionYard,buildRefinery,13,2,0,1548,0
JavaRTS,entity,constructionYard,buildFactory,13,2,0,1563,0
JavaRTS,entity,constructionYard,buildCommunicationCentre,13,2,0,1578,0
JavaRTS,entity,constructionYard,buildGunTurret,13,2,0,1593,0
JavaRTS,entity,constructionYard,buildMissileTurret,13,2,0,1608,0
JavaRTS,entity,constructionYard,buildTechCenter,13,2,0,1623,0
JavaRTS,entity,constructionYard,cancelBuilding,13,2,0,1639,0
JavaRTS,entity,constructionYard,finishDeployment,11,1,0,1656,0
JavaRTS,entity,constructionYard,isIdle,3,1,0,1668,0
JavaRTS,entity,constructionYard,createBuilding,51,9,0,1673,0
JavaRTS,entity,constructionYard,draw,21,8,0,1725,0
JavaRTS,entity,constructionYard,drawDeploymentGrid,6,2,0,1755,0
JavaRTS,entity,constructionYard,getMovement,3,1,0,1763,0
JavaRTS,entity,constructionYard,printCurrentBuilding,23,8,0,1767,0
JavaRTS,entity,drone,drone,46,6,3,61,0
JavaRTS,entity,drone,makePolygons,92,12,0,129,0
JavaRTS,entity,drone,update,163,47,0,342,0
JavaRTS,entity,drone,updateGeometry,46,4,0,591,0
JavaRTS,entity,drone,draw,7,3,0,652,0
JavaRTS,entity,drone,addPolygon,10,3,2,666,0
JavaRTS,entity,drone,getDistance,3,1,2,677,0
JavaRTS,entity,factory,factory,101,5,4,99,0
JavaRTS,entity,factory,makePolygons,356,22,0,246,0
JavaRTS,entity,factory,addPolygon,10,3,2,805,0
JavaRTS,entity,factory,update,595,118,0,817,0
JavaRTS,entity,factory,buildLightTank,12,4,0,1591,0
JavaRTS,entity,factory,buildRocketTank,12,4,0,1606,0
JavaRTS,entity,factory,buildHarvester,12,4,0,1621,0
JavaRTS,entity,factory,buildDrone,12,4,0,1636,0
JavaRTS,entity,factory,buildMCV,12,4,0,1651,0
JavaRTS,entity,factory,buildStealthTank,12,4,0,1666,0
JavaRTS,entity,factory,buildHeavyTank,12,4,0,1681,0
JavaRTS,entity,factory,grayAllOtherIcons,30,8,2,1697,0
JavaRTS,entity,factory,addToProductionQueue,8,3,1,1731,0
JavaRTS,entity,factory,cancelItemFromProductionQueue,112,27,1,1740,0
JavaRTS,entity,factory,removelItemFromProductionQueue,86,18,1,1851,0
JavaRTS,entity,factory,cancelBuilding,17,2,0,1945,0
JavaRTS,entity,factory,draw,13,5,0,1965,0
JavaRTS,entity,factory,drawRallyPointLine,8,3,0,1983,0
JavaRTS,entity,factory,getMovement,3,1,0,1993,0
JavaRTS,entity,factory,moveTo,6,2,2,1999,0
JavaRTS,entity,factory,moveDeliveredUnitToRallyPoint,39,8,0,2007,0
JavaRTS,entity,factory,isIdle,3,1,0,2062,0
JavaRTS,entity,factory,harvest,4,3,1,2066,0
JavaRTS,entity,goldMine,goldMine,74,4,4,54,0
JavaRTS,entity,goldMine,makePolygons,62,8,0,161,0
JavaRTS,entity,goldMine,update,84,15,0,265,0
JavaRTS,entity,goldMine,draw,9,4,0,397,0
JavaRTS,entity,goldMine,getMovement,3,1,0,411,0
JavaRTS,entity,gunTurret,gunTurret,59,5,4,81,0
JavaRTS,entity,gunTurret,makePolygons,76,4,0,173,0
JavaRTS,entity,gunTurret,update,210,39,0,295,0
JavaRTS,entity,gunTurret,carryOutCommands,80,19,0,603,0
JavaRTS,entity,gunTurret,draw,7,3,0,706,0
JavaRTS,entity,gunTurret,attack,27,7,1,716,0
JavaRTS,entity,gunTurret,fireBullet,25,4,1,756,0
JavaRTS,entity,gunTurret,hold,4,1,0,788,0
JavaRTS,entity,gunTurret,getMovement,3,1,0,793,0
JavaRTS,entity,harvester,harvester,35,2,3,96,0
JavaRTS,entity,harvester,makePolygons,261,21,0,142,0
JavaRTS,entity,harvester,makeTriangle,19,1,6,551,0
JavaRTS,entity,harvester,update,138,36,0,581,0
JavaRTS,entity,harvester,carryOutCommands,204,57,0,790,0
JavaRTS,entity,harvester,performPathFindingLogic,112,27,0,1026,0
JavaRTS,entity,harvester,findAdjacentTileWithSmallestHeuristic,62,17,1,1192,0
JavaRTS,entity,harvester,performMovementLogic,53,10,0,1280,0
JavaRTS,entity,harvester,avoidGettingStucked,20,5,0,1353,0
JavaRTS,entity,harvester,draw,32,10,0,1382,0
JavaRTS,entity,harvester,getMovement,3,1,0,1422,0
JavaRTS,entity,harvester,updateGeometry,114,13,0,1427,0
JavaRTS,entity,harvester,resetLogicStatus,11,1,0,1603,0
JavaRTS,entity,harvester,moveTo,14,4,2,1616,0
JavaRTS,entity,harvester,harvest,34,5,1,1636,0
JavaRTS,entity,harvester,returnToRefinery,40,7,1,1684,0
JavaRTS,entity,harvester,findNearestRefinery,42,13,0,1733,0
JavaRTS,entity,harvester,goToTheNearestGoldMine,16,5,0,1780,0
JavaRTS,entity,harvester,checkDistance,3,1,1,1801,0
JavaRTS,entity,harvester,hold,3,2,0,1805,0
JavaRTS,entity,harvester,getMaxHp,3,1,0,1810,0
JavaRTS,entity,heavyTank,heavyTank,38,3,3,75,0
JavaRTS,entity,heavyTank,makePolygons,131,13,0,122,0
JavaRTS,entity,heavyTank,update,177,47,0,358,0
JavaRTS,entity,heavyTank,updateGeometry,57,8,0,613,0
JavaRTS,entity,heavyTank,carryOutCommands,18,5,0,693,0
JavaRTS,entity,heavyTank,performStandByLogic,22,8,0,713,0
JavaRTS,entity,heavyTank,performAttackLogic,155,32,0,742,0
JavaRTS,entity,heavyTank,performAttackMoveLogic,33,11,0,935,0
JavaRTS,entity,heavyTank,performMovementLogic,64,11,0,976,0
JavaRTS,entity,heavyTank,fireBullet,38,5,1,1066,0
JavaRTS,entity,heavyTank,draw,11,4,0,1123,0
JavaRTS,entity,heavyTank,getMaxHp,3,1,0,1142,0
JavaRTS,entity,lightPole,lightPole,31,2,4,34,0
JavaRTS,entity,lightPole,makePolygons,73,6,0,85,0
JavaRTS,entity,lightPole,update,46,7,0,204,0
JavaRTS,entity,lightPole,vanish,5,1,0,283,0
JavaRTS,entity,lightPole,getMovement,3,1,0,290,0
JavaRTS,entity,lightPole,draw,9,4,0,295,0
JavaRTS,entity,lightTank,lightTank,48,2,3,75,0
JavaRTS,entity,lightTank,makePolygons,73,4,0,138,0
JavaRTS,entity,lightTank,update,174,46,0,253,0
JavaRTS,entity,lightTank,updateGeometry,57,8,0,510,0
JavaRTS,entity,lightTank,carryOutCommands,18,5,0,590,0
JavaRTS,entity,lightTank,performStandByLogic,24,9,0,610,0
JavaRTS,entity,lightTank,performAttackLogic,155,32,0,644,0
JavaRTS,entity,lightTank,performAttackMoveLogic,33,11,0,837,0
JavaRTS,entity,lightTank,performMovementLogic,64,11,0,883,0
JavaRTS,entity,lightTank,fireBullet,23,5,1,973,0
JavaRTS,entity,lightTank,draw,11,4,0,1006,0
JavaRTS,entity,lightTank,getMaxHp,3,1,0,1024,0
JavaRTS,entity,missileTurret,missileTurret,58,5,4,95,0
JavaRTS,entity,missileTurret,makePolygons,123,5,0,186,0
JavaRTS,entity,missileTurret,update,238,45,0,394,0
JavaRTS,entity,missileTurret,carryOutCommands,98,33,0,745,0
JavaRTS,entity,missileTurret,draw,7,3,0,886,0
JavaRTS,entity,missileTurret,attack,9,3,1,896,0
JavaRTS,entity,missileTurret,fireRocket,27,3,1,910,0
JavaRTS,entity,missileTurret,hold,4,1,0,943,0
JavaRTS,entity,missileTurret,getMovement,3,1,0,948,0
JavaRTS,entity,palmTree,palmTree,47,2,3,34,0
JavaRTS,entity,palmTree,palmTree,39,1,14,105,0
JavaRTS,entity,palmTree,makePolygons,52,5,0,161,0
JavaRTS,entity,palmTree,update,45,6,0,248,0
JavaRTS,entity,palmTree,getMovement,3,1,0,328,0
